Id,State_Name,Season,Crop,Area,Production,soil_type
74,Assam,Whole Year ,Arecanut,6610,7577, Laterite
75,Assam,Whole Year ,Arecanut,3740,2420, Laterite
76,Assam,Whole Year ,Arecanut,3756,2862, Laterite
77,Assam,Whole Year ,Arecanut,3015,2210, Laterite
78,Assam,Whole Year ,Arecanut,3373,2307, Laterite
79,Assam,Rabi       ,Arecanut,3373,2307, Laterite
80,Assam,Rabi       ,Arecanut,3351,3502, Laterite
81,Assam,Rabi       ,Arecanut,3365,3781, Laterite
82,Assam,Rabi       ,Arecanut,3321,2036, Laterite
83,Assam,Whole Year ,Arecanut,2950,3521, Laterite
84,Assam,Whole Year ,Arecanut,2970,4020, Laterite
85,Assam,Whole Year ,Arecanut,3132,4439, Laterite
86,Assam,Whole Year ,Arecanut,3020,5016, Laterite
87,Assam,Whole Year ,Arecanut,3034,4024, Laterite
88,Assam,Whole Year ,Arecanut,3012,2785, Laterite
89,Assam,Whole Year ,Arecanut,3385,4934, Laterite
90,Assam,Whole Year ,Arecanut,3394,5552, Laterite
91,Assam,Whole Year ,Arecanut,1738,1588, Laterite
92,Assam,Whole Year ,Arecanut,1557,1583, Laterite
93,Assam,Whole Year ,Arecanut,1562,2024, Laterite
94,Assam,Whole Year ,Arecanut,1563,1721, Laterite
95,Assam,Rabi       ,Arecanut,1563,1721, Laterite
96,Assam,Rabi       ,Arecanut,1566,2330, Laterite
97,Assam,Rabi       ,Arecanut,1559,2155, Laterite
98,Assam,Rabi       ,Arecanut,1590,1387, Laterite
99,Assam,Whole Year ,Arecanut,4505,1058, Laterite
100,Assam,Whole Year ,Arecanut,4515,2237, Laterite
101,Assam,Whole Year ,Arecanut,4520,858, Laterite
102,Assam,Whole Year ,Arecanut,4565,3106, Laterite
103,Assam,Whole Year ,Arecanut,4575,2143, Laterite
104,Assam,Whole Year ,Arecanut,4580,1566, Laterite
105,Assam,Whole Year ,Arecanut,4464,1222, Laterite
106,Assam,Whole Year ,Arecanut,4184,1133, Laterite
107,Assam,Whole Year ,Arecanut,4545,1037, Laterite
108,Assam,Whole Year ,Arecanut,4295,1805, Laterite
109,Assam,Whole Year ,Arecanut,4446,2821, Laterite
110,Assam,Whole Year ,Arecanut,4478,2435, Laterite
111,Assam,Rabi       ,Arecanut,4478,2435, Laterite
112,Assam,Rabi       ,Arecanut,4293,2432, Laterite
113,Assam,Rabi       ,Arecanut,4331,2233, Laterite
114,Assam,Rabi       ,Arecanut,4467,1605, Laterite
115,Assam,Whole Year ,Arecanut,2008,1541, Laterite
116,Assam,Whole Year ,Arecanut,2207,1865, Laterite
117,Assam,Whole Year ,Arecanut,2260,2451, Laterite
118,Assam,Whole Year ,Arecanut,2588,2496, Laterite
119,Assam,Rabi       ,Arecanut,2588,2496, Laterite
120,Assam,Rabi       ,Arecanut,2912,2524, Laterite
121,Assam,Rabi       ,Arecanut,2267,2232, Laterite
122,Assam,Rabi       ,Arecanut,2291,1555, Laterite
123,Assam,Whole Year ,Arecanut,4325,1710, Laterite
124,Assam,Whole Year ,Arecanut,4580,2050, Laterite
125,Assam,Whole Year ,Arecanut,4733,3148, Laterite
126,Assam,Whole Year ,Arecanut,4749,2976, Laterite
127,Assam,Whole Year ,Arecanut,4800,3842, Laterite
128,Assam,Whole Year ,Arecanut,5060,3052, Laterite
129,Assam,Whole Year ,Arecanut,5072,3036, Laterite
130,Assam,Whole Year ,Arecanut,5080,3645, Laterite
131,Assam,Whole Year ,Arecanut,1781,2005, Laterite
132,Assam,Whole Year ,Arecanut,1144,797, Laterite
133,Assam,Whole Year ,Arecanut,1685,673, Laterite
134,Assam,Whole Year ,Arecanut,1807,1083, Laterite
135,Assam,Rabi       ,Arecanut,1807,1083, Laterite
136,Assam,Rabi       ,Arecanut,1800,762, Laterite
137,Assam,Rabi       ,Arecanut,1840,1041, Laterite
138,Assam,Rabi       ,Arecanut,1671,1042, Laterite
139,Assam,Whole Year ,Arecanut,835,756, Laterite
140,Assam,Whole Year ,Arecanut,838,882, Laterite
141,Assam,Whole Year ,Arecanut,835,750, Laterite
142,Assam,Whole Year ,Arecanut,836,1130, Laterite
143,Assam,Whole Year ,Arecanut,852,1588, Laterite
144,Assam,Whole Year ,Arecanut,852,765, Laterite
145,Assam,Whole Year ,Arecanut,861,729, Laterite
146,Assam,Whole Year ,Arecanut,978,1163, Laterite
147,Assam,Whole Year ,Arecanut,1420,1434, Laterite
148,Assam,Whole Year ,Arecanut,960,795, Laterite
149,Assam,Whole Year ,Arecanut,257,444, Laterite
150,Assam,Whole Year ,Arecanut,960,747, Laterite
151,Assam,Rabi       ,Arecanut,960,747, Laterite
152,Assam,Rabi       ,Arecanut,975,952, Laterite
153,Assam,Rabi       ,Arecanut,990,967, Laterite
154,Assam,Rabi       ,Arecanut,962,352, Laterite
155,Assam,Whole Year ,Arecanut,2210,979, Laterite
156,Assam,Whole Year ,Arecanut,2273,1512, Laterite
157,Assam,Whole Year ,Arecanut,2300,1685, Laterite
158,Assam,Whole Year ,Arecanut,2207,1837, Laterite
159,Assam,Whole Year ,Arecanut,2264,1880, Laterite
160,Assam,Whole Year ,Arecanut,2003,2117, Laterite
161,Assam,Whole Year ,Arecanut,2110,1412, Laterite
162,Assam,Whole Year ,Arecanut,1830,3007, Laterite
163,Assam,Whole Year ,Arecanut,1315,1138, Laterite
164,Assam,Whole Year ,Arecanut,1327,1037, Laterite
165,Assam,Whole Year ,Arecanut,1080,1413, Laterite
166,Assam,Whole Year ,Arecanut,1186,602, Laterite
167,Assam,Rabi       ,Arecanut,1186,602, Laterite
168,Assam,Rabi       ,Arecanut,1262,866, Laterite
169,Assam,Rabi       ,Arecanut,1253,2353, Laterite
170,Assam,Rabi       ,Arecanut,1258,610, Laterite
171,Assam,Whole Year ,Arecanut,3378,2615, Laterite
172,Assam,Whole Year ,Arecanut,3380,2887, Laterite
173,Assam,Whole Year ,Arecanut,3550,2354, Laterite
174,Assam,Whole Year ,Arecanut,3100,2545, Laterite
175,Assam,Whole Year ,Arecanut,3100,2469, Laterite
176,Assam,Whole Year ,Arecanut,3105,2685, Laterite
177,Assam,Whole Year ,Arecanut,2756,4280, Laterite
178,Assam,Whole Year ,Arecanut,2137,2081, Laterite
179,Assam,Whole Year ,Arecanut,982,1461, Laterite
180,Assam,Whole Year ,Arecanut,1000,1266, Laterite
181,Assam,Whole Year ,Arecanut,1029,1096, Laterite
182,Assam,Whole Year ,Arecanut,1100,1569, Laterite
183,Assam,Rabi       ,Arecanut,1100,1569, Laterite
184,Assam,Rabi       ,Arecanut,1400,1595, Laterite
185,Assam,Rabi       ,Arecanut,1480,1866, Laterite
186,Assam,Rabi       ,Arecanut,1518,1187, Laterite
187,Assam,Whole Year ,Arecanut,360,264, Laterite
188,Assam,Whole Year ,Arecanut,335,226, Laterite
189,Assam,Whole Year ,Arecanut,380,262, Laterite
190,Assam,Whole Year ,Arecanut,350,299, Laterite
191,Assam,Whole Year ,Arecanut,320,283, Laterite
192,Assam,Whole Year ,Arecanut,350,233, Laterite
193,Assam,Whole Year ,Arecanut,395,443, Laterite
194,Assam,Whole Year ,Arecanut,387,357, Laterite
195,Assam,Whole Year ,Arecanut,490,283, Laterite
196,Assam,Whole Year ,Arecanut,482,181, Laterite
197,Assam,Whole Year ,Arecanut,91,52, Laterite
198,Assam,Whole Year ,Arecanut,269,166, Laterite
199,Assam,Rabi       ,Arecanut,269,166, Laterite
200,Assam,Rabi       ,Arecanut,1310,1308, Laterite
201,Assam,Rabi       ,Arecanut,1588,903, Laterite
202,Assam,Rabi       ,Arecanut,1742,583, Laterite
203,Assam,Whole Year ,Arecanut,2296,1666, Laterite
204,Assam,Whole Year ,Arecanut,2598,1422, Laterite
205,Assam,Whole Year ,Arecanut,2800,1965, Laterite
206,Assam,Whole Year ,Arecanut,2850,5110, Laterite
207,Assam,Whole Year ,Arecanut,2860,1990, Laterite
208,Assam,Whole Year ,Arecanut,2860,3028, Laterite
209,Assam,Whole Year ,Arecanut,2900,2896, Laterite
210,Assam,Whole Year ,Arecanut,3077,4028, Laterite
211,Assam,Whole Year ,Arecanut,3150,3976, Laterite
212,Assam,Whole Year ,Arecanut,3155,3790, Laterite
213,Assam,Whole Year ,Arecanut,3160,4168, Laterite
214,Assam,Whole Year ,Arecanut,3200,4609, Laterite
215,Assam,Rabi       ,Arecanut,3200,4609, Laterite
216,Assam,Rabi       ,Arecanut,2476,2995, Laterite
217,Assam,Rabi       ,Arecanut,2487,3354, Laterite
218,Assam,Rabi       ,Arecanut,2500,2314, Laterite
219,Assam,Whole Year ,Arecanut,4731,2787, Laterite
220,Assam,Whole Year ,Arecanut,4730,2244, Laterite
221,Assam,Whole Year ,Arecanut,4729,3106, Laterite
222,Assam,Whole Year ,Arecanut,4738,3573, Laterite
223,Assam,Whole Year ,Arecanut,4790,3361, Laterite
224,Assam,Whole Year ,Arecanut,4845,3557, Laterite
225,Assam,Whole Year ,Arecanut,5086,2940, Laterite
226,Assam,Whole Year ,Arecanut,5080,4060, Laterite
227,Assam,Whole Year ,Arecanut,4398,3346, Laterite
228,Assam,Whole Year ,Arecanut,4565,4070, Laterite
229,Assam,Whole Year ,Arecanut,6038,4733, Laterite
230,Assam,Whole Year ,Arecanut,6061,5076, Laterite
231,Assam,Rabi       ,Arecanut,6061,5076, Laterite
232,Assam,Rabi       ,Arecanut,6306,5619, Laterite
233,Assam,Rabi       ,Arecanut,6369,5061, Laterite
234,Assam,Rabi       ,Arecanut,6221,4344, Laterite
235,Assam,Whole Year ,Arecanut,2400,2164, Laterite
236,Assam,Whole Year ,Arecanut,2400,4292, Laterite
237,Assam,Whole Year ,Arecanut,2500,2689, Laterite
238,Assam,Whole Year ,Arecanut,2600,1601, Laterite
239,Assam,Whole Year ,Arecanut,2650,4092, Laterite
240,Assam,Whole Year ,Arecanut,2700,916, Laterite
241,Assam,Whole Year ,Arecanut,2690,548, Laterite
242,Assam,Whole Year ,Arecanut,2695,1118, Laterite
243,Assam,Whole Year ,Arecanut,2900,1190, Laterite
244,Assam,Whole Year ,Arecanut,2850,783, Laterite
245,Assam,Whole Year ,Arecanut,2805,1425, Laterite
246,Assam,Whole Year ,Arecanut,2800,2015, Laterite
247,Assam,Rabi       ,Arecanut,2800,2015, Laterite
248,Assam,Rabi       ,Arecanut,3000,1611, Laterite
249,Assam,Rabi       ,Arecanut,2925,1294, Laterite
250,Assam,Rabi       ,Arecanut,2687,7944, Laterite
251,Assam,Whole Year ,Arecanut,2700,3135, Laterite
252,Assam,Whole Year ,Arecanut,2766,1059, Laterite
253,Assam,Whole Year ,Arecanut,2235,749, Laterite
254,Assam,Whole Year ,Arecanut,2286,688, Laterite
255,Assam,Whole Year ,Arecanut,2415,2291, Laterite
256,Assam,Whole Year ,Arecanut,2500,1374, Laterite
257,Assam,Whole Year ,Arecanut,2325,992, Laterite
258,Assam,Whole Year ,Arecanut,2329,1117, Laterite
259,Assam,Whole Year ,Arecanut,2504,1423, Laterite
260,Assam,Whole Year ,Arecanut,2540,1653, Laterite
261,Assam,Whole Year ,Arecanut,2959,2481, Laterite
262,Assam,Whole Year ,Arecanut,2980,1881, Laterite
263,Assam,Rabi       ,Arecanut,2980,1881, Laterite
264,Assam,Rabi       ,Arecanut,2737,2017, Laterite
265,Assam,Rabi       ,Arecanut,2532,1610, Laterite
266,Assam,Rabi       ,Arecanut,2856,1885, Laterite
267,Assam,Whole Year ,Arecanut,5611,3395, Laterite
268,Assam,Whole Year ,Arecanut,5400,3011, Laterite
269,Assam,Whole Year ,Arecanut,5217,3355, Laterite
270,Assam,Whole Year ,Arecanut,5256,4407, Laterite
271,Assam,Whole Year ,Arecanut,5316,3505, Laterite
272,Assam,Whole Year ,Arecanut,5325,2232, Laterite
273,Assam,Whole Year ,Arecanut,5375,6073, Laterite
274,Assam,Whole Year ,Arecanut,4880,6140, Laterite
275,Assam,Whole Year ,Arecanut,4522,2786, Laterite
276,Assam,Whole Year ,Arecanut,4527,5780, Laterite
277,Assam,Whole Year ,Arecanut,3566,4634, Laterite
278,Assam,Whole Year ,Arecanut,4284,7428, Laterite
279,Assam,Rabi       ,Arecanut,4284,7428, Laterite
280,Assam,Rabi       ,Arecanut,4250,4802, Laterite
281,Assam,Rabi       ,Arecanut,4318,4716, Laterite
282,Assam,Rabi       ,Arecanut,3978,3720, Laterite
283,Assam,Whole Year ,Arecanut,519,304, Laterite
284,Assam,Whole Year ,Arecanut,540,456, Laterite
285,Assam,Whole Year ,Arecanut,650,831, Laterite
286,Assam,Whole Year ,Arecanut,850,1393, Laterite
287,Assam,Rabi       ,Arecanut,850,1393, Laterite
288,Assam,Rabi       ,Arecanut,662,704, Laterite
289,Assam,Rabi       ,Arecanut,675,91, Laterite
290,Assam,Rabi       ,Arecanut,684,692, Laterite
291,Assam,Whole Year ,Arecanut,1213,988, Laterite
292,Assam,Whole Year ,Arecanut,1213,509, Laterite
293,Assam,Whole Year ,Arecanut,1234,766, Laterite
294,Assam,Whole Year ,Arecanut,1198,739, Laterite
295,Assam,Whole Year ,Arecanut,1209,1142, Laterite
296,Assam,Whole Year ,Arecanut,1216,582, Laterite
297,Assam,Whole Year ,Arecanut,1226,1536, Laterite
298,Assam,Whole Year ,Arecanut,1240,689, Laterite
299,Assam,Whole Year ,Arecanut,1302,1310, Laterite
300,Assam,Whole Year ,Arecanut,1287,984, Laterite
301,Assam,Whole Year ,Arecanut,1332,894, Laterite
302,Assam,Whole Year ,Arecanut,1346,1861, Laterite
303,Assam,Rabi       ,Arecanut,1346,1861, Laterite
304,Assam,Rabi       ,Arecanut,1440,1091, Laterite
305,Assam,Rabi       ,Arecanut,1447,1418, Laterite
306,Assam,Rabi       ,Arecanut,1487,460, Laterite
307,Assam,Whole Year ,Arecanut,2035,1330, Laterite
308,Assam,Whole Year ,Arecanut,2100,925, Laterite
309,Assam,Whole Year ,Arecanut,2175,1003, Laterite
310,Assam,Whole Year ,Arecanut,2196,827, Laterite
311,Assam,Whole Year ,Arecanut,2200,2127, Laterite
312,Assam,Whole Year ,Arecanut,2215,739, Laterite
313,Assam,Whole Year ,Arecanut,2231,992, Laterite
314,Assam,Whole Year ,Arecanut,2231,1009, Laterite
315,Assam,Whole Year ,Arecanut,2285,906, Laterite
316,Assam,Whole Year ,Arecanut,2299,1071, Laterite
317,Assam,Whole Year ,Arecanut,2070,786, Laterite
318,Assam,Whole Year ,Arecanut,2120,641, Laterite
319,Assam,Rabi       ,Arecanut,2120,641, Laterite
320,Assam,Rabi       ,Arecanut,2242,803, Laterite
321,Assam,Rabi       ,Arecanut,2292,784, Laterite
322,Assam,Rabi       ,Arecanut,2338,938, Laterite
323,Assam,Whole Year ,Arecanut,1345,2344, Laterite
324,Assam,Whole Year ,Arecanut,1356,1706, Laterite
325,Assam,Whole Year ,Arecanut,1310,1702, Laterite
326,Assam,Whole Year ,Arecanut,1341,3671, Laterite
327,Assam,Whole Year ,Arecanut,1433,1331, Laterite
328,Assam,Whole Year ,Arecanut,1455,1484, Laterite
329,Assam,Whole Year ,Arecanut,1466,3105, Laterite
330,Assam,Whole Year ,Arecanut,1473,935, Laterite
331,Assam,Whole Year ,Arecanut,1719,2201, Laterite
332,Assam,Whole Year ,Arecanut,1668,3546, Laterite
333,Assam,Whole Year ,Arecanut,1681,3143, Laterite
334,Assam,Whole Year ,Arecanut,1568,2552, Laterite
335,Assam,Rabi       ,Arecanut,1568,2552, Laterite
336,Assam,Rabi       ,Arecanut,1650,2788, Laterite
337,Assam,Rabi       ,Arecanut,1630,31459, Laterite
338,Assam,Rabi       ,Arecanut,1790,1441, Laterite
339,Assam,Whole Year ,Arecanut,2235,1337, Laterite
340,Assam,Whole Year ,Arecanut,2242,2767, Laterite
341,Assam,Whole Year ,Arecanut,2290,2513, Laterite
342,Assam,Whole Year ,Arecanut,2319,1649, Laterite
343,Assam,Whole Year ,Arecanut,2291,1781, Laterite
344,Assam,Whole Year ,Arecanut,2322,1064, Laterite
345,Assam,Whole Year ,Arecanut,2893,2788, Laterite
346,Assam,Whole Year ,Arecanut,2893,2880, Laterite
347,Assam,Whole Year ,Arecanut,3307,3507, Laterite
348,Assam,Whole Year ,Arecanut,3009,2900, Laterite
349,Assam,Whole Year ,Arecanut,2791,2563, Laterite
350,Assam,Whole Year ,Arecanut,3013,3964, Laterite
351,Assam,Rabi       ,Arecanut,3013,3964, Laterite
352,Assam,Rabi       ,Arecanut,2457,1654, Laterite
353,Assam,Rabi       ,Arecanut,2675,1743, Laterite
354,Assam,Rabi       ,Arecanut,2677,1818, Laterite
355,Assam,Whole Year ,Arecanut,1403,821, Laterite
356,Assam,Whole Year ,Arecanut,1403,1239, Laterite
357,Assam,Whole Year ,Arecanut,1400,1214, Laterite
358,Assam,Whole Year ,Arecanut,1400,478, Laterite
359,Assam,Whole Year ,Arecanut,1400,1148, Laterite
360,Assam,Whole Year ,Arecanut,1400,734, Laterite
361,Assam,Whole Year ,Arecanut,1400,1358, Laterite
362,Assam,Whole Year ,Arecanut,1398,1460, Laterite
363,Assam,Whole Year ,Arecanut,1250,848, Laterite
364,Assam,Whole Year ,Arecanut,1250,945, Laterite
365,Assam,Whole Year ,Arecanut,1296,1480, Laterite
366,Assam,Whole Year ,Arecanut,1331,1347, Laterite
367,Assam,Rabi       ,Arecanut,1331,1347, Laterite
368,Assam,Rabi       ,Arecanut,1385,1014, Laterite
369,Assam,Rabi       ,Arecanut,1438,856, Laterite
370,Assam,Rabi       ,Arecanut,1451,1073, Laterite
371,Assam,Whole Year ,Arecanut,5979,4768, Laterite
372,Assam,Whole Year ,Arecanut,5934,3767, Laterite
373,Assam,Whole Year ,Arecanut,6273,5916, Laterite
374,Assam,Whole Year ,Arecanut,6288,6305, Laterite
375,Assam,Whole Year ,Arecanut,6309,8944, Laterite
376,Assam,Whole Year ,Arecanut,6350,4947, Laterite
377,Assam,Whole Year ,Arecanut,6137,7606, Laterite
378,Assam,Whole Year ,Arecanut,5026,6622, Laterite
379,Assam,Whole Year ,Arecanut,5413,5061, Laterite
380,Assam,Whole Year ,Arecanut,5463,5398, Laterite
381,Assam,Whole Year ,Arecanut,5544,7708, Laterite
382,Assam,Whole Year ,Arecanut,5276,6516, Laterite
383,Assam,Rabi       ,Arecanut,5276,6516, Laterite
384,Assam,Rabi       ,Arecanut,5473,7264, Laterite
385,Assam,Rabi       ,Arecanut,4889,4753, Laterite
386,Assam,Rabi       ,Arecanut,5340,8605, Laterite
387,Assam,Whole Year ,Arecanut,3980,3795, Laterite
388,Assam,Whole Year ,Arecanut,3990,3071, Laterite
389,Assam,Whole Year ,Arecanut,3990,1337, Laterite
390,Assam,Whole Year ,Arecanut,3998,4548, Laterite
391,Assam,Whole Year ,Arecanut,3998,3788, Laterite
392,Assam,Whole Year ,Arecanut,3950,3910, Laterite
393,Assam,Whole Year ,Arecanut,3945,6073, Laterite
394,Assam,Whole Year ,Arecanut,3950,4114, Laterite
395,Assam,Whole Year ,Arecanut,1900,1853, Laterite
396,Assam,Whole Year ,Arecanut,1950,1965, Laterite
397,Assam,Whole Year ,Arecanut,1960,1828, Laterite
398,Assam,Whole Year ,Arecanut,1980,2147, Laterite
399,Assam,Rabi       ,Arecanut,1980,2147, Laterite
400,Assam,Rabi       ,Arecanut,2010,1604, Laterite
401,Assam,Rabi       ,Arecanut,1450,1433, Laterite
402,Assam,Rabi       ,Arecanut,1390,1413, Laterite
403,Assam,Whole Year ,Arecanut,5930,6372, Laterite
404,Assam,Whole Year ,Arecanut,6020,4597, Laterite
405,Assam,Whole Year ,Arecanut,4335,2492, Laterite
406,Assam,Whole Year ,Arecanut,4347,7385, Laterite
407,Assam,Whole Year ,Arecanut,4356,4795, Laterite
408,Assam,Whole Year ,Arecanut,4353,2752, Laterite
409,Assam,Whole Year ,Arecanut,3913,3301, Laterite
410,Assam,Whole Year ,Arecanut,3532,2884, Laterite
411,Assam,Whole Year ,Arecanut,3441,2288, Laterite
412,Assam,Whole Year ,Arecanut,3435,2574, Laterite
413,Assam,Whole Year ,Arecanut,3175,2438, Laterite
414,Assam,Whole Year ,Arecanut,3108,2266, Laterite
415,Assam,Rabi       ,Arecanut,3108,2266, Laterite
416,Assam,Rabi       ,Arecanut,2271,1274, Laterite
417,Assam,Rabi       ,Arecanut,2299,1693, Laterite
418,Assam,Rabi       ,Arecanut,2268,1802, Laterite
419,Assam,Whole Year ,Arecanut,4151,4070, Laterite
420,Assam,Whole Year ,Arecanut,4158,2616, Laterite
421,Assam,Whole Year ,Arecanut,4254,3403, Laterite
422,Assam,Whole Year ,Arecanut,4313,2785, Laterite
423,Assam,Whole Year ,Arecanut,4335,5187, Laterite
424,Assam,Whole Year ,Arecanut,4490,4141, Laterite
425,Assam,Whole Year ,Arecanut,4600,3411, Laterite
426,Assam,Whole Year ,Arecanut,4620,4133, Laterite
427,Assam,Whole Year ,Arecanut,4624,5758, Laterite
428,Assam,Whole Year ,Arecanut,4604,3344, Laterite
429,Assam,Whole Year ,Arecanut,4649,5268, Laterite
430,Assam,Whole Year ,Arecanut,4927,6473, Laterite
431,Assam,Rabi       ,Arecanut,4927,6473, Laterite
432,Assam,Rabi       ,Arecanut,4880,3367, Laterite
433,Assam,Rabi       ,Arecanut,4757,5628, Laterite
434,Assam,Rabi       ,Arecanut,4783,3108, Laterite
435,Assam,Whole Year ,Arecanut,2082,1473, Laterite
436,Assam,Whole Year ,Arecanut,2096,1667, Laterite
437,Assam,Whole Year ,Arecanut,2102,1417, Laterite
438,Assam,Whole Year ,Arecanut,2120,1691, Laterite
439,Assam,Whole Year ,Arecanut,2134,2626, Laterite
440,Assam,Whole Year ,Arecanut,2144,2297, Laterite
441,Assam,Whole Year ,Arecanut,2161,3011, Laterite
442,Assam,Whole Year ,Arecanut,2152,1074, Laterite
443,Assam,Whole Year ,Arecanut,1720,1160, Laterite
444,Assam,Whole Year ,Arecanut,1646,1229, Laterite
445,Assam,Whole Year ,Arecanut,2092,1292, Laterite
446,Assam,Whole Year ,Arecanut,2079,1009, Laterite
447,Assam,Rabi       ,Arecanut,2079,1009, Laterite
448,Assam,Rabi       ,Arecanut,1881,1563, Laterite
449,Assam,Rabi       ,Arecanut,1896,1705, Laterite
450,Assam,Rabi       ,Arecanut,1903,1784, Laterite
451,Assam,Whole Year ,Arecanut,1995,1046, Laterite
452,Assam,Whole Year ,Arecanut,1951,1648, Laterite
453,Assam,Whole Year ,Arecanut,2098,2024, Laterite
454,Assam,Whole Year ,Arecanut,2200,1841, Laterite
455,Assam,Rabi       ,Arecanut,2200,1841, Laterite
456,Assam,Rabi       ,Arecanut,2110,1273, Laterite
457,Assam,Rabi       ,Arecanut,2075,1834, Laterite
